"Canton","Vehicle group / type","Fuel","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Switzerland","... Truck (lorry)","Petrol",43,30,35,73,70,98,78,92,74,58,67,61,78,73,79,63,82
"Switzerland","... Truck (lorry)","Diesel",854,915,887,898,897,902,1049,1086,1127,977,1032,967,944,964,910,873,902
"Switzerland","... Truck (lorry)","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Switzerland","... Truck (lorry)","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Truck (lorry)","Diesel-electricity: conventional hybrid",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"Switzerland","... Truck (lorry)","Diesel-electricity: plug-in hybrid",0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0
"Switzerland","... Truck (lorry)","Electricity",68,78,90,81,80,92,94,84,79,93,73,91,78,80,72,79,95
"Switzerland","... Truck (lorry)","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Truck (lorry)","Gas (monovalent and bivalent)",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Switzerland","... Truck (lorry)","Other",9,7,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Switzerland","... Truck (lorry)","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Powered wheelbarrow","Petrol",10,5,7,7,18,5,6,6,3,3,5,30,10,7,10,4,4
"Switzerland","... Powered wheelbarrow","Diesel",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Switzerland","... Powered wheelbarrow","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Powered wheelbarrow","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Powered wheelbarrow","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Powered wheelbarrow","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Powered wheelbarrow","Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Powered wheelbarrow","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Powered wheelbarrow","Gas (monovalent and bivalent)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Powered wheelbarrow","Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Powered wheelbarrow","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
